note_id	noteId	prompt	answer	tags
sys-elec-psc-010	1771709095059	Which buses does each AC power system consists of?	Transfer bus (1);  Main bus (1); Galley buses (2); Ground Service Bus (1).	common format_bullets systems
sys-elec-psc-020	1771709095061	What does selecting GRD PWR Switch ON do on the ground with both generators off the bus?	If ground power available: removes previously connected power from AC transfer buses; connects ground power to AC transfer buses if power quality is correct	common format_bullets llights-switches systems
sys-elec-psc-021	1771709095062	What does selecting either APU GEN switch to ON do to the AC transfer buses?	If neither AC transfer bus powered by IDG: - Connects both AC transfer buses to APU generator; disconnected external power, illuminates opposite SOURCE OFF light until other APU GEN switch moved to ON. If both AC transfer buses powered by IDGs: - Powers the related transfer bus from the APU generator; - Other transfer bus continues to receive power from the IDG	common format_bullets lights-switches systems
sys-elec-fail-050	1771709095070	What is the order of load shedding during single generator operation?	Sheds incrementally: (1) galleys and main bus on transfer bus 2; (2) galleys and main bus on transfer bus 1; (3) IFE buses.	common format_bullets systems verbatim
sys-elec-psc-002	1771709095082	What are the three main divisions of the B737 electrical power system?	AC power system; DC power system; standby power system.	common format_bullets systems
sys-elec-fail-067	1771709095088	Under which two conditions does the cross bus tie relay open?	At glideslope capture during a flight director or autopilot ILS approach; and when the BUS TRANSFER switch is positioned to OFF.	common format_bullets systems verbatim
sys-elec-psc-065	1771709095097	Under normal conditions, how are DC bus 1, DC bus 2, and the DC standby buses powered? How are they connected to one another?	.TR1 and TR2 each power DC bus 1, DC bus 2, and the DC standby bus. They are connected via the cross bus tie relay; 	common format_bullets systems
sys-elec-psc-080	1771709095098	What is the chemistry and nominal voltage of the battery? Where is it located?	24V nickel-cadmium battery;  located in the electronics compartment.	common format_bullets systems verbatim
sys-elec-fail-083	1771709095101	After loss of both generators, which DC buses does the battery power?	Battery bus; DC standby bus;Hot battery bus; Switched hot battery bus.	common format_bullets systems verbatim
sys-elec-psc-091	1771709095105	What are the components (2) and buses (5) that comprise the Standby Power System	Static inverter;  main battery.; AC standby bus; DC standby bus; battery bus; hot battery bus; switched hot battery bus.	common format_bullets systems
sys-elec-psc-092	1771709095106	With both AC Transfer Buses powered by their generators and the guards down on the BAT and STANDBY POWER switches, what powers the following buses: AC Standby Bus; DC Standby Bus; Battery Bus; Hot Battery Bus; Switched Hot Battery Bus? 	In the Normal Standby Power System Configuration, what powers the following buses?  AC Standby Bus: AC Transfer Bus #1; DC Standby Bus: TR1, TR2, and TR3; Battery Bus: TR3; Hot Battery Bus: Battery and/or Battery Charger; Switched Hot Battery Bus: Battery and/or Battery Charger. 	common special-formatting systems
sys-elec-fail-093	1771709095107	With the loss of all AC generators and the guards down on the BATTERY  and STANDBY POWER switches, what powers the following buses: AC Standby Bus; DC Standby Bus; Battery Bus; Hot Battery Bus; Switched Hot Battery Bus? 	With the loss of all AC generators and the guards down on the BATTERY  and STANDBY POWER switches, what powers the following buses: AC Standby Bus: Battery via static inverter; DC Standby Bus: battery; Battery Bus: battery; Hot Battery Bus: battery; Switched Hot Battery Bus: battery? 	common special-formatting systems
