sys-elec-psc-001	What are the two basic principles of operation fofr the B737 electrical syste,?	No paralleling of AC sources. Connecting a source to a transfer bus automatically disconnects an existing source.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.1–6.20.2 (Electrical system principles)		unverified common systems verbatim format_bullets
sys-elec-psc-002	What are the three main divisions of the B737 electrical power system?	AC power system; DC power system; standby power system.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.1 (Electrical system overview)		unverified common systems format_bullets
sys-elec-psc-010	Which buses does each AC power system consists of?	Transfer bus (1);  Main bus (1); Galley buses (2); Ground Service Bus (1).	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems format_bullets
sys-elec-psc-011	Which AC transfer bus powers the AC standby bus under normal conditions?	Transfer bus 1 supplies the AC standby bus.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems
sys-elec-fail-012	If the AC source powering an AC transfer bus fails or is disconnected, how can that transfer bus be powered?	It can be powered by any available source through the tie bus via the bus tie breakers (BTBs).	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		common systems verbatim
sys-elec-psc-020	What does selecting GRD PWR Switch ON do on the ground with both generators off the bus?	If ground power available: removes previously connected power from AC transfer buses; connects ground power to AC transfer buses if power quality is correct	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System) + §6.10.4 (GRD PWR switch)		common systems lights-switches format_bullets
sys-elec-psc-021	What does selecting either APU GEN switch to ON do to the AC transfer buses?	If neither AC transfer bus powered by IDG: - Connects both AC transfer buses to APU generator; disconnected external power, illiminates oppposite SOURCE FF light until other APU GEN switch moved to ON. If both AC transfer buses powered by IDGs: - Powers the related transfer bus from the APU generator; - Other transfer bus continues to receive power from the IDG	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		common systems ights-switches format_bullets
sys-elec-psc-022	Can one AC transfer bus be powered by external power while the other is powered by the APU?	No.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		common systems
sys-elec-swt-030	GEN switch (ENG) — what does OFF do?	Disconnects the IDG from the related AC transfer bus by opening the generator circuit breaker.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN switches)		common systems lights-switches verbatim
sys-elec-swt-031	GEN switch (ENG) — what does ON do (momentary)?	Connects the IDG to the related AC transfer bus by disconnecting the previous power source and closing the generator circuit breaker.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN switches)		common systems lights-switches verbatim
