note_id	system	subsystem	panel_group	panel_name	function_type	prompt	answer	normal_state	failure_logic	affects_bus	powered_by	interacts_with	source	ref_section	tags	status	notes
sys-elec-psc-010	B737 Electrical	AC Power			concept	Which buses does each AC power system consists of?	Transfer bus (1);  Main bus (1); Galley buses (2); Ground Service Bus (1).			main buses; galley buses; ground service bus(es)			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)	common systems format_bullets	draft	
sys-elec-fail-012	B737 Electrical	AC Power			failure-logic	If the AC source powering an AC transfer bus fails or is disconnected, how can that transfer bus be powered?	It can be powered by any available source through the tie bus via the bus tie breakers (BTBs).		It can be powered by any available source through the tie bus via the bus tie breakers (BTBs).	tie bus; BTBs			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)	common systems verbatim	draft	
sys-elec-psc-020	B737 Electrical	AC Power			concept	What does selecting GRD PWR Switch ON do on the ground with both generators off the bus?	If ground power available: removes previously connected power from AC transfer buses; connects ground power to AC transfer buses if power quality is correct			AC transfer buses	external power		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System) + §6.10.4 (GRD PWR switch)	common systems llights-switches format_bullets	draft	
sys-elec-psc-021	B737 Electrical	AC Power			concept	What does selecting either APU GEN switch to ON do to the AC transfer buses?	If neither AC transfer bus powered by IDG: - Connects both AC transfer buses to APU generator; disconnected external power, illuminates opposite SOURCE OFF light until other APU GEN switch moved to ON. If both AC transfer buses powered by IDGs: - Powers the related transfer bus from the APU generator; - Other transfer bus continues to receive power from the IDG			AC transfer buses	IDG; APU generator; external power		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)	common systems lights-switches format_bullets	draft	
sys-elec-psc-022	B737 Electrical	AC Power			concept	Can one AC transfer bus be powered by external power while the other is powered by the APU?	No.				APU generator; external power		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)	common systems	draft	
sys-elec-swt-030	B737 Electrical	AC Power	Overhead – Electrical	GEN switch (ENG)	control	GEN switch (ENG) — what does OFF do?	Disconnects the IDG from the related AC transfer bus by opening the generator circuit breaker.				IDG		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN switches)	common systems llights-switches verbatim	draft	
sys-elec-swt-031	B737 Electrical	AC Power	Overhead – Electrical	GEN switch (ENG)	control	GEN switch (ENG) — what does ON do (momentary)?	Connects the IDG to the related AC transfer bus by disconnecting the previous power source and closing the generator circuit breaker.				IDG		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN switches)	common systems llights-switches verbatim	draft	
sys-elec-fail-032	B737 Electrical	AC Power			failure-logic	In flight, with one engine generator no longer supplying power and BUS TRANSFER in AUTO, what happens to the transfer buses?	BTBs automatically close so the remaining generator can supply both transfer buses through the tie bus/BTBs.		BTBs automatically close so the remaining generator can supply both transfer buses through the tie bus/BTBs.	AC transfer buses; tie bus; BTBs	IDG		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3–6.20.4 (AC Power / Bus Tie System)	common systems	draft	
sys-elec-fail-033	B737 Electrical	AC Power			failure-logic	If the airplane takes off with the APU powering both transfer buses and the APU is shut down or fails, what happens? How many times can this occur?	- Engine generators are automatically connected to their related AC transfer buses. - This occurs only once in flight and only in that circumstance.		- Engine generators are automatically connected to their related AC transfer buses. - This occurs only once in flight and only in that circumstance.	AC transfer buses	IDG; APU generator		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)	common systems verbatim format_bullets	draft	
sys-elec-swt-040	B737 Electrical	AC Power	Overhead – Electrical	BUS TRANSFER switch	control	BUS TRANSFER switch — AUTO (guarded): what does it allow for AC and DC?	AC: BTBs operate automatically to maintain power to AC transfer buses from any operating generator or external power. DC: DC cross tie relay automatically provides normal or isolated operation as required.			AC transfer buses; BTBs	external power		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (BUS TRANSFER switch)	common systems llights-switches verbatim format_bullets	draft	
sys-elec-swt-041	B737 Electrical	AC Power	Overhead – Electrical	BUS TRANSFER switch	control	BUS TRANSFER switch — OFF: what does it do (AC + DC + TR3 input)?	AC: isolates AC transfer bus 1 from AC transfer bus 2 (if one IDG is supplying both). DC: DC cross tie relay opens to isolate DC bus 1 from DC bus 2. Also inhibits TR3 input from connecting to AC transfer bus 1.			AC transfer bus 1; AC transfer bus 2; TR3; DC bus 1; DC bus 2; DC buses	IDG		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (BUS TRANSFER switch OFF)	common systems llights-switches verbatim format_bullets	draft	
sys-elec-fail-050	B737 Electrical	AC Power			failure-logic	What is the order of load shedding during single generator operation?	Sheds incrementally: (1) galleys and main bus on transfer bus 2; (2) galleys and main bus on transfer bus 1; (3) IFE buses.		Sheds incrementally: (1) galleys and main bus on transfer bus 2; (2) galleys and main bus on transfer bus 1; (3) IFE buses.	AC transfer bus 1; AC transfer bus 2; main buses; IFE buses			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (Automatic Load Shedding – Engine Generators)	common systems verbatim format_bullets	draft	
sys-elec-fail-051	B737 Electrical	AC Power			failure-logic	When source capacity returns to two-generator operation, what restores automatically and what requires CAB/UTIL reset?	IFE/PASS buses restore automatically. Galley and main bus power require CAB/UTIL switch reset (OFF then ON) to restore.		IFE/PASS buses restore automatically. Galley and main bus power require CAB/UTIL switch reset (OFF then ON) to restore.	main buses			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (Automatic Load Shedding – Engine Generators)	common systems llights-switches verbatim format_bullets	draft	
sys-elec-psc-062	B737 Electrical	AC Power			concept	Which AC transfer bus powers TR1 and TR2?	TR1 receives AC power from transfer bus 1. TR2 receives AC power from transfer bus 2.			AC transfer bus 1; AC transfer bus 2; TR1; TR2			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)	common systems verbatim	draft	
sys-elec-psc-063	B737 Electrical	AC Power			concept	TR3 normally receives AC power from which transfer bus, and what is its backup source (when BUS TRANSFER is AUTO)?	Normally from transfer bus 2, with backup AC power from transfer bus 1.	Normally from transfer bus 2, with backup AC power from transfer bus 1.		AC transfer bus 1; AC transfer bus 2; TR3			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)	common systems verbatim	draft	
sys-elec-swt-120	B737 Electrical	AC Power	Overhead – Electrical		control	What AC indications are provided on the AC/DC metering pane?	Voltage, Current, and Frequency of the selected AC source.						B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.2 (AC and DC Metering Panel)	common systems llights-switches	draft	
sys-elec-swt-121	B737 Electrical	AC Power	Overhead – Electrical		control	What DC indications are provided on the AC/DC metering pane?	Voltage and Current of the selected DC source.						B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.2 (AC and DC Metering Panel)	common systems llights-switches	draft	
sys-elec-swt-131	B737 Electrical	AC Power	Overhead – Electrical		control	What does the OFF position of the GRD PWR switch do?	Disconnects ground power from the AC transfer buses.			AC transfer buses	external power		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GRD PWR switch)	common systems llights-switches verbatim	draft	
sys-elec-swt-132	B737 Electrical	AC Power	Overhead – Electrical		control	What happens when the GRD PWR switch is  moved to ON (with ground power available)?	Removes previously connected power from AC transfer buses, then connects ground power to the AC transfer buses (if power quality is correct).			AC transfer buses	external power		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GRD PWR switch ON)	common systems llights-switches verbatim	draft	
sys-elec-ind-133	B737 Electrical	AC Power			indication	What does the TRANSFER BUS OFF light indicate?	The related AC transfer bus is not powered.	The related AC transfer bus is not powered.					B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (TRANSFER BUS OFF lights)	common systems llights-switches verbatim	draft	
sys-elec-ind-135	B737 Electrical	AC Power	Overhead – Electrical		indication	"What does the GEN OFF BUS light indicate""?"	IDG is not supplying power to the related AC transfer bus.	IDG is not supplying power to the related AC transfer bus.			IDG		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN OFF BUS lights)	common systems llights-switches verbatim	draft	
sys-elec-psc-060	B737 Electrical	DC Power			concept	DC power system: what supplies 28V DC power under normal conditions?	Three transformer-rectifier (TR) units energized from the AC transfer buses supply 28V DC.	Three transformer-rectifier (TR) units energized from the AC transfer buses supply 28V DC.		AC transfer buses			B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC Power System)	common systems verbatim	draft	
sys-elec-psc-001	B737 Electrical	Electrical — General (cross-subsystem)	Aircraft electrical architecture (conceptual)		concept	What are the two basic principles of operation for the B737 electrical system?	No paralleling of AC sources. Connecting a source to a transfer bus automatically disconnects an existing source.					AC sources; transfer buses; bus tie logic	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.1–6.20.2 (Electrical system principles)	common systems verbatim format_bullets	draft	Consider splitting into 2 bullets in answer (principle 1: no paralleling; principle 2: auto-disconnect on transfer bus).
sys-elec-psc-002	B737 Electrical	Electrical — General (cross-subsystem)	Aircraft electrical architecture (conceptual)		concept	What are the three main divisions of the B737 electrical power system?	AC power system; DC power system; standby power system.					AC power; DC power; standby power	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.1 (Electrical system overview)	common systems format_bullets	draft	
sys-elec-fail-052	B737 Electrical	Electrical — General (cross-subsystem)	Automatic load shedding (logic)		failure-logic	APU-only electrical power in flight: what is shed automatically (and what else if overload persists)?	All galley buses and main buses are automatically shed. If load still exceeds limits, both IFE buses are also automatically shed.		Automatic load shedding in-flight on APU-only power: sheds galley+main; if overload persists, sheds both IFE buses.	galley buses; main buses; IFE buses	APU generator		B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (APU Automatic Load Shedding)	common systems verbatim format_bullets	draft	
