sys-elec-psc-001	Two basic principles: how are AC sources handled (paralleling and connecting sources)?	No paralleling of AC sources. Connecting a source to a transfer bus automatically disconnects an existing source.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.1–6.20.2 (Electrical system principles)		unverified common systems verbatim
sys-elec-psc-002	What are the three main divisions of the B737 electrical power system?	AC power system; DC power system; standby power system.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.1 (Electrical system overview)		unverified common systems
sys-elec-psc-010	Each AC power system consists of what buses?	Transfer bus; main bus; two galley buses; ground service bus.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems
sys-elec-psc-011	Which transfer bus supplies the AC standby bus (normal)?	Transfer bus 1 supplies the AC standby bus.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems verbatim
sys-elec-fail-012	If the AC source powering a transfer bus fails or is disconnected, how can that transfer bus be powered?	It can be powered by any available source through the tie bus via the bus tie breakers (BTBs).	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems
sys-elec-psc-020	On the ground with both GEN control switches OFF (or both engines shut down), what does selecting GRD PWR ON do?	Connects external power to both transfer buses (if power quality is correct).	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System) + §6.10.4 (GRD PWR switch)		unverified common systems lights-switches verbatim
sys-elec-psc-021	On the ground, selecting either APU GEN switch ON does what to the transfer buses?	Connects APU power to both transfer buses.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems verbatim
sys-elec-psc-022	Can one transfer bus be powered by external power while the other is powered by the APU?	No. It is not possible to power one transfer bus with external power and the other with APU power.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems verbatim
sys-elec-swt-030	GEN switch (ENG) — what does OFF do?	Disconnects the IDG from the related AC transfer bus by opening the generator circuit breaker.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN switches)		unverified common systems lights-switches verbatim
sys-elec-swt-031	GEN switch (ENG) — what does ON do (momentary)?	Connects the IDG to the related AC transfer bus by disconnecting the previous power source and closing the generator circuit breaker.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN switches)		unverified common systems lights-switches verbatim
sys-elec-fail-032	In flight, with one engine generator no longer supplying power and BUS TRANSFER in AUTO, what happens to the transfer buses?	BTBs automatically close so the remaining generator can supply both transfer buses through the tie bus/BTBs.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3–6.20.4 (AC Power / Bus Tie System)		unverified common systems
sys-elec-fail-033	If the airplane takes off with the APU powering both transfer buses and the APU is shut down or fails, what happens?	Engine generators are automatically connected to their related transfer buses. This occurs only once in flight and only in that circumstance.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.3 (AC Power System)		unverified common systems verbatim
sys-elec-swt-040	BUS TRANSFER switch — AUTO (guarded): what does it allow for AC and DC?	AC: BTBs operate automatically to maintain power to AC transfer buses from any operating generator or external power. DC: DC cross tie relay automatically provides normal or isolated operation as required.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (BUS TRANSFER switch)		unverified common systems lights-switches
sys-elec-swt-041	BUS TRANSFER switch — OFF: what does it do (AC + DC + TR3 input)?	AC: isolates AC transfer bus 1 from AC transfer bus 2 (if one IDG is supplying both). DC: DC cross tie relay opens to isolate DC bus 1 from DC bus 2. Also inhibits TR3 input from connecting to AC transfer bus 1.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (BUS TRANSFER switch OFF)		unverified common systems lights-switches verbatim
sys-elec-fail-042	If BUS TRANSFER is in AUTO and the source powering a transfer bus is disconnected or fails, what occurs?	The source powering the opposite transfer bus automatically picks up the unpowered transfer bus through the BTBs.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (Bus Tie System)		unverified common systems verbatim
sys-elec-fail-050	Single generator operation: what loads are shed first/next/then (automatic load shedding)?	Sheds incrementally by load sensing: (1) galleys and main bus on transfer bus 2; (2) galleys and main bus on transfer bus 1; (3) IFE buses (if overload persists).	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (Automatic Load Shedding – Engine Generators)		unverified common systems verbatim
sys-elec-fail-051	When source capacity returns to two-generator operation, what restores automatically and what requires CAB/UTIL reset?	IFE/PASS buses restore automatically. Galley and main bus power require CAB/UTIL switch reset (OFF then ON) to restore.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (Automatic Load Shedding – Engine Generators)		unverified common systems lights-switches verbatim
sys-elec-fail-052	APU-only electrical power in flight: what is shed automatically (and what else if overload persists)?	All galley buses and main buses are automatically shed. If load still exceeds limits, both IFE buses are also automatically shed.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (APU Automatic Load Shedding)		unverified common systems verbatim
sys-elec-fail-053	APU on the ground with overload sensed: what does the APU shed, and how can you attempt restoration?	Sheds galley buses and main buses until load is within limits. Restoration can be attempted by moving CAB/UTIL switch OFF then back ON.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.4 (APU Automatic Load Shedding)		unverified common systems lights-switches verbatim
sys-elec-psc-060	DC power system: what supplies 28V DC power under normal conditions?	Three transformer-rectifier (TR) units energized from the AC transfer buses supply 28V DC.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC Power System)		unverified common systems verbatim
sys-elec-psc-061	TR units convert what to what?	Convert 115V AC to 28V DC.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)		unverified common systems verbatim
sys-elec-psc-062	Which AC transfer bus powers TR1 and TR2?	TR1 receives AC power from transfer bus 1. TR2 receives AC power from transfer bus 2.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)		unverified common systems verbatim
sys-elec-psc-063	TR3 normally receives AC power from which transfer bus, and what is its backup source (when BUS TRANSFER is AUTO)?	Normally from transfer bus 2, with backup AC power from transfer bus 1.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)		unverified common systems verbatim
sys-elec-psc-064	How many TRs are required to supply the total connected load?	Any two TRs are capable of supplying the total connected load.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Transformer Rectifier Units)		unverified common systems verbatim
sys-elec-psc-065	Under normal conditions, how are DC bus 1, DC bus 2, and the DC standby bus connected, and what does that allow?	They are connected via the cross bus tie relay; TR1 and TR2 each power DC bus 1, DC bus 2, and the DC standby bus.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC buses / cross bus tie relay)		unverified common systems
sys-elec-psc-066	Under normal conditions, what does TR3 power and what is its role?	TR3 powers the battery bus and serves as a backup power source for TR1 and TR2.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC buses / TR3)		unverified common systems
sys-elec-fail-067	Cross bus tie relay: under what conditions does it automatically open (isolate DC bus 1 from DC bus 2)?	At glideslope capture during a flight director or autopilot ILS approach; and when the BUS TRANSFER switch is positioned to OFF.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Cross bus tie relay) + §6.10.4 (BUS TRANSFER OFF)		unverified common systems verbatim
sys-elec-ind-068	TR UNIT light: when does it illuminate in flight vs on the ground?	In flight: illuminates if TR1, or TR2 and TR3 has failed. On the ground: any TR fault causes the light to illuminate.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (TR UNIT light logic)		unverified common systems lights-switches verbatim
sys-elec-ind-070	ELEC light: what does it indicate on the ground, and what is its in-flight logic?	On the ground: indicates a fault exists in the DC power system or standby power system. In flight: ELEC light is inhibited.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (DC Power System)		unverified common systems lights-switches verbatim
sys-elec-psc-080	Battery: what type/nominal voltage and where is it located?	Single 24V nickel-cadmium battery located in the electronics compartment.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – Single Battery)		unverified common systems verbatim
sys-elec-psc-081	Battery capacity: a fully charged battery provides standby power for at least how long?	Minimum of 30 minutes.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – capacity)		unverified common systems verbatim
sys-elec-psc-082	Battery voltage range (volts)?	22–30 volts.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – voltage range)		unverified common systems verbatim
sys-elec-fail-083	After loss of both generators, which DC buses are powered from the battery?	Battery bus; DC standby bus; hot battery bus; switched hot battery bus.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power – buses powered)		unverified common systems verbatim
sys-elec-psc-084	Switched hot battery bus: when is it powered?	Powered whenever the battery switch is ON.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power)		unverified common systems lights-switches verbatim
sys-elec-psc-085	Hot battery bus: how is it connected to the battery?	Always connected to the battery; there is no switch in this circuit.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.5 (Battery Power)		unverified common systems verbatim
sys-elec-psc-090	Standby power system: what does it provide, and when?	Provides 115V AC and 24V DC power to essential systems in the event of loss of all engine or APU-driven AC power.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – Normal Operation)		unverified common systems verbatim
sys-elec-psc-091	Standby power system consists of what components/buses?	Static inverter; AC standby bus; DC standby bus; battery bus; hot battery bus; switched hot battery bus; main battery.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – components)		unverified common systems
sys-elec-psc-092	Normal standby power sources (AUTO, battery switch ON): what powers AC standby bus, DC standby bus, battery bus, hot & switched hot battery buses?	AC standby bus: AC transfer bus 1. DC standby bus: TR1/TR2/TR3. Battery bus: TR3. Hot & switched hot battery buses: battery/battery charger.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – normal conditions)		unverified common systems
sys-elec-fail-093	With standby power switch in AUTO, loss of all engine/APU electrical power causes what standby power configuration?	Battery powers standby loads (air or ground). AC standby bus powered from battery via static inverter. DC standby bus, battery bus, hot & switched hot battery buses powered directly from battery.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby Power System – alternate operation)		unverified common systems
sys-elec-swt-094	Standby power switch — AUTO: when does automatic switching from normal to alternate occur?	If power from either AC transfer bus 1 or DC bus 1 is lost.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby power switch – AUTO logic)		unverified common systems lights-switches verbatim
sys-elec-swt-095	Standby power switch — BAT: what does it do (and what happens if BAT switch is OFF)?	Overrides automatic switching and places AC standby bus, DC standby bus, and battery bus on battery power. Battery switch may be ON or OFF; if battery switch is OFF, the switched hot battery bus is not powered.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby power switch – BAT)		unverified common systems lights-switches verbatim
sys-elec-swt-096	Standby power switch — OFF: what happens?	De-energizes AC standby bus and DC standby bus and illuminates the STANDBY PWR OFF light.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6 (Standby power switch – OFF)		unverified common systems lights-switches verbatim
sys-elec-psc-097	Static inverter: what does it do, and what controls its power supply?	Converts 24V DC from the battery to 115V AC to supply the AC standby bus during loss of normal electrical power. Inverter power supply is controlled by the standby power switch and the battery switch.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.20.6–6.20.6 (Static Inverter)		unverified common systems verbatim
sys-elec-swt-110	GROUND SERVICE switch: what does it do when ON (illuminated)?	Connects external power to the ground service buses (manual control) to service the airplane without activating AC transfer buses.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.5 (Ground Service Switch)		unverified common systems lights-switches
sys-elec-swt-120	AC/DC metering panel: what do the AC ammeter/voltmeter/frequency meter indicate?	Indicate amperage/voltage/frequency of the source selected by the AC meters selector.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.2 (AC and DC Metering Panel)		unverified common systems lights-switches
sys-elec-swt-121	AC/DC metering panel: what do the DC ammeter/voltmeter indicate?	Indicate amperage/voltage of the source selected by the DC meters selector.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.2 (AC and DC Metering Panel)		unverified common systems lights-switches
sys-elec-ind-130	GRD POWER AVAILABLE light: what does it mean?	Ground power is connected and meets airplane power quality standards.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GRD POWER AVAILABLE light)		unverified common systems lights-switches verbatim
sys-elec-swt-131	GRD PWR switch: what does OFF do?	Disconnects ground power from the AC transfer buses.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GRD PWR switch)		unverified common systems lights-switches verbatim
sys-elec-swt-132	GRD PWR switch: when moved to ON (with ground power available), what happens?	Removes previously connected power from AC transfer buses, then connects ground power to the AC transfer buses (if power quality is correct).	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GRD PWR switch ON)		unverified common systems lights-switches verbatim
sys-elec-ind-133	TRANSFER BUS OFF light: what does it indicate?	Related transfer bus is not powered.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (TRANSFER BUS OFF lights)		unverified common systems lights-switches verbatim
sys-elec-ind-134	SOURCE OFF light: what does it indicate, and what if the opposite transfer bus has a source selected?	No source has been manually selected to power the related transfer bus, or the manually selected source has been disconnected. If a source has been selected to power the opposite transfer bus, both transfer buses are powered.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (SOURCE OFF lights)		unverified common systems lights-switches verbatim
sys-elec-ind-135	GEN OFF BUS light: what does it indicate?	IDG is not supplying power to the related transfer bus.	B737 Aircraft Systems Manual (Electrical)	Ch 6 §6.10.4 (GEN OFF BUS lights)		unverified common systems lights-switches verbatim
